Date,Username,User tag,Content,Mentions,link
"2023-11-11,15:59:46","malappc","#0","哈哈哈哈哈哈哈哈","",""
"2023-11-11,15:59:46",".misoudon","#0","他在","",""
"2023-11-11,15:59:49",".misoudon","#0","学习","",""
"2023-11-11,15:59:54","malappc","#0","https://tenor.com/view/yes-gif-25966348","",""
"2023-11-11,16:00:04",".misoudon","#0","认真的备考","",""
"2023-11-11,16:00:11",".misoudon","#0","爱学习的好孩子","",""
"2023-11-11,16:00:16",".misoudon","#0","真棒","",""
"2023-11-11,19:14:41","xx_lpyyds","#0","🈚 🍚","",""
"2023-11-11,19:15:22",".misoudon","#0","？","",""
"2023-11-11,19:16:01","xx_lpyyds","#0","👍","",""
"2023-11-11,19:16:10",".misoudon","#0","6","",""
"2023-11-12,01:04:23",".misoudon","#0","skinspotlights","",""
"2023-11-12,15:00:31","white_give","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1173110048713605201/RPReplay_Final1699761475.mov?ex=65ed305e&is=65dabb5e&hm=4cd5ba6adc0bc2ea96b3e7a8973888feae981209664385b628586fa4321c925a&"
"2023-11-12,15:00:46","white_give","#0","我受不了了","",""
"2023-11-12,15:00:48","white_give","#0","笑嘻了","",""
"2023-11-12,18:04:23",".misoudon","#0","一会有人看比赛吗","",""
"2023-11-12,18:04:45","white_give","#0","https://tenor.com/view/goodbye-thank-you-jerry-the-mouse-waving-hi-gif-16816499","",""
"2023-11-12,18:06:14","okainotonline","#0","👍","",""
"2023-11-13,18:06:13","malappc","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1173519170642661426/image.png?ex=65eead65&is=65dc3865&hm=043b12ca247011e967eef56b16494b06fe17a5127745b42894b99dfbf8196afe&"
"2023-11-13,18:06:25","malappc","#0","太夸张了","",""
"2023-11-13,19:57:45",".misoudon","#0","<@486098923488935948> 进来","然_#5256",""
"2023-11-13,23:14:07","okainotonline","#0","<@688923339166711866> 仔细观察","white_give#0","https://cdn.discordapp.com/attachments/975015717613232158/1173596656944566322/image.png?ex=65eef58f&is=65dc808f&hm=72a65de8b4b764d71e271d9eb7b2c69b4d8ab8cdd99a3a3f38e3d0bac35aabf7&"
"2023-11-13,23:14:11","okainotonline","#0","谁是内鬼","",""
"2023-11-13,23:14:43","okainotonline","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1173596807528452106/image.png?ex=65eef5b3&is=65dc80b3&hm=7143639afc1bb54f80af903da6fa61abf1aba1d866174a49f51994db3df9a55b&"
"2023-11-13,23:15:14","jackyhe30","#0","一血是Lewis","",""
"2023-11-13,23:15:24","jackyhe30","#0","送的","",""
"2023-11-13,23:15:34","okainotonline","#0","是锤石ad 还是塞恩辅助 还是伤害最低打野 还是演员中单 还是隐身上单","",""
"2023-11-13,23:16:03","white_give","#0","群魔乱舞","",""
"2023-11-13,23:16:15","okainotonline","#0","额外信息","",""
"2023-11-13,23:16:23","okainotonline","#0","塞恩伤害最高","",""
"2023-11-13,23:16:36","jackyhe30","#0","送的一血","",""
"2023-11-13,23:16:42","jackyhe30","#0","让上单没法对线了","",""
"2023-11-13,23:17:06","xx_lpyyds","#0","傻逼上中下","",""
"2023-11-13,23:17:15","okainotonline","#0","打野差距","",""
"2023-11-13,23:17:22",".misoudon","#0","Jg gap","",""
"2023-11-13,23:17:24",".misoudon","#0","gap","",""
"2023-11-13,23:17:25",".misoudon","#0","Gap","",""
"2023-11-13,23:17:27","jackyhe30","#0","纯纯jgdiff","",""
"2023-11-13,23:17:33",".misoudon","#0","Diff","",""
"2023-11-13,23:17:35","xx_lpyyds","#0","送子闭嘴 三路全是撒比","",""
"2023-11-13,23:17:40","okainotonline","#0","龙在哪里 伤害在哪里 打野究竟在哪里","",""
"2023-11-13,23:17:48",".misoudon","#0","没我松子伤害高","",""
"2023-11-13,23:17:55",".misoudon","#0","jg diff","",""
"2023-11-13,23:17:58","jackyhe30","#0","十分钟一次上没来过","",""
"2023-11-13,23:18:12","xx_lpyyds","#0","13级送出来一个17级","",""
"2023-11-13,23:18:21","xx_lpyyds","#0","我打你的妈","",""
"2023-11-13,23:18:25",".misoudon","#0","那你伤害为啥没我高","",""
"2023-11-13,23:18:34",".misoudon","#0","我没送到17啊","",""
"2023-11-13,23:18:42",".misoudon","#0","我送是因为矿哥抢我人头","",""
"2023-11-13,23:18:47",".misoudon","#0","他就压我一级","",""
"2023-11-13,23:18:55","okainotonline","#0","有的时候要想想是不是自己的问题 是不是刷野不够努力 经济这么久涨了吗","",""
"2023-11-13,23:18:59","xx_lpyyds","#0","傻逼东西还狡辩","",""
"2023-11-13,23:18:59","watashinokato","#0","🫶","",""
"2023-11-13,23:19:12","jackyhe30","#0","刷了十分钟","",""
"2023-11-13,23:19:14","xx_lpyyds","#0","一坨💩","",""
"2023-11-13,23:19:24",".misoudon","#0","可伤害没我高","",""
"2023-11-13,23:19:27",".misoudon","#0","可惜可惜","",""
"2023-11-13,23:19:29",".misoudon","#0","再接再厉","",""
"2023-11-13,23:19:34",".misoudon","#0","u can do it","",""
"2023-11-13,23:19:40",".misoudon","#0","clearlobe","",""
"2023-11-13,23:19:44",".misoudon","#0","love","",""
"2023-11-13,23:19:49","okainotonline","#0","威廉你也别说了 伤害没辅助高","",""
"2023-11-13,23:19:49",".misoudon","#0","明凯哥","",""
"2023-11-13,23:19:53","okainotonline","#0","你快谢罪吧","",""
"2023-11-13,23:20:08","xx_lpyyds","#0","草履虫玩应","",""
"2023-11-13,23:20:13","jackyhe30","#0","p事没干","",""
"2023-11-13,23:20:16",".misoudon","#0","你送的一血","",""
"2023-11-13,23:20:17","jackyhe30","#0","还开始怪上中下","",""
"2023-11-13,23:20:18","jackyhe30","#0","4399再现江湖","",""
"2023-11-13,23:20:22","jackyhe30","#0","蚯蚓-没什么用但是可以拿来钓鱼","",""
"2023-11-13,23:20:28","okainotonline","#0","0/11 是人？","",""
"2023-11-13,23:20:34",".misoudon","#0","不是啊","",""
"2023-11-13,23:20:37",".misoudon","#0","我是狐狸","",""
"2023-11-13,23:20:38",".misoudon","#0","不是人","",""
"2023-11-13,23:20:44","okainotonline","#0","哦","",""
"2023-11-13,23:20:47","okainotonline","#0","确实","",""
"2023-11-13,23:20:49","okainotonline","#0","不是人","",""
"2023-11-13,23:20:54","xx_lpyyds","#0","你是一坨泄","",""
"2023-11-13,23:20:57","okainotonline","#0","我的soryyy","",""
"2023-11-13,23:21:06",".misoudon","#0","没关系捏","",""
"2023-11-13,23:21:19",".misoudon","#0","阿狸选择原谅你","",""
"2023-11-13,23:21:40","jackyhe30","#0","妲己~陪你玩~~~","",""
"2023-11-13,23:21:53",".misoudon","#0","我操有农p","",""
"2023-11-13,23:22:01","xx_lpyyds","#0","纯傻逼","",""
"2023-11-13,23:22:07","xx_lpyyds","#0","回去玩王者吧","",""
"2023-11-13,23:22:09","watashinokato","#0","ji棒是什么意思","",""
"2023-11-13,23:22:16","okainotonline","#0","《装备理解》","","https://cdn.discordapp.com/attachments/975015717613232158/1173598707938234398/image.png?ex=65eef778&is=65dc8278&hm=3253943b50b5e053bfd87f44d44035d48c95ed75dd19b0a00640daefd0c8b66b&"
"2023-11-13,23:22:19","jackyhe30","#0","求求你阻止我","",""
"2023-11-13,23:22:33",".misoudon","#0","你属于手机","",""
"2023-11-13,23:22:35",".misoudon","#0","去吧","",""
"2023-11-13,23:22:38",".misoudon","#0","农哥","",""
"2023-11-13,23:22:44","white_give","#0","https://tenor.com/view/tom-tom-and-jerry-waiting-tom-waiting-gif-17813304","",""
"2023-11-13,23:22:46","xx_lpyyds","#0","还真是 别玩lol了","",""
"2023-11-13,23:22:55","jackyhe30","#0","二等兵陈希！出列！","",""
"2023-11-13,23:22:59","jackyhe30","#0","精忠报国！","",""
"2023-11-13,23:23:06","jackyhe30","#0","忠诚！","",""
"2023-11-13,23:23:45","xx_lpyyds","#0","😯","",""
"2023-11-13,23:23:55","okainotonline","#0","miso udon vs bronze","","https://cdn.discordapp.com/attachments/975015717613232158/1173599125346979850/image.png?ex=65eef7db&is=65dc82db&hm=b64172003ea88da9e86f10633a69705c301ec013e075e0adb2b3240086998f72&"
"2023-11-13,23:24:17",".misoudon","#0","那送子的数据来比","",""
"2023-11-13,23:24:22",".misoudon","#0","真的很有说服力呢","",""
"2023-11-13,23:24:28","okainotonline","#0","什么送子","",""
"2023-11-13,23:24:34","okainotonline","#0","送子观音","",""
"2023-11-13,23:24:34",".misoudon","#0","林俊哥哥好聪明","",""
"2023-11-13,23:24:36","okainotonline","#0","牛的","",""
"2023-11-13,23:24:39","okainotonline","#0","拜拜你","",""
"2023-11-13,23:24:40","jackyhe30","#0","兄弟们 间谍举报电话12339","",""
"2023-11-13,23:25:26","jackyhe30","#0","陈希：旅行青蛙2.0","",""
"2023-11-14,11:16:25","white_give","#0","https://tenor.com/view/league-of-legends-lol-meme-pepe-gif-25444442","",""
"2023-11-14,11:16:35","white_give","#0","👻👻👻👻👻👻","",""
"2023-11-14,11:16:42","jackyhe30","#0","ok","",""
"2023-11-14,11:16:45","malappc","#0","https://tenor.com/view/league-of-legends-pepe-league-pepe-give-me-league-lima-beans-gif-24554043","",""
"2023-11-14,11:16:45","jackyhe30","#0","看来是考完了","",""
"2023-11-14,11:16:51","okainotonline","#0","疯狂","",""
"2023-11-14,11:16:53","white_give","#0","https://tenor.com/view/tom-and-jerry-teasing-jerry-gif-13329408","",""
"2023-11-14,11:16:56","jackyhe30","#0","亏贼","",""
"2023-11-14,11:17:02","然_","#5256","起飛咯","",""
"2023-11-14,11:17:04","jackyhe30","#0","Henry又在玩原神","",""
"2023-11-14,11:17:12","white_give","#0","原来都在","",""
"2023-11-14,11:17:17","jackyhe30","#0","我在买菜捏","",""
"2023-11-14,11:17:17","white_give","#0","在nm隐身","",""
"2023-11-14,11:17:26","white_give","#0","https://tenor.com/view/tom-and-jerry-clueless-shrugs-gif-20341002","",""
"2023-11-14,11:17:28","然_","#5256","壞了","",""
"2023-11-14,11:17:30","jackyhe30","#0","威廉giegie说要请你们吃帝王蟹","",""
"2023-11-14,11:17:34","jackyhe30","#0","所以我就去买了","",""
"2023-11-14,11:18:02","white_give","#0","全部给我逮到","",""
"2023-11-14,11:18:03","malappc","#0","https://tenor.com/view/tom-and-jerry-hungry-feed-me-ah-starving-gif-16592150","",""
"2023-11-14,11:18:12","malappc","#0","我要吃","",""
"2023-11-14,11:18:18","然_","#5256","1111","",""
"2023-11-14,11:18:19","okainotonline","#0","尊嘟假嘟","",""
"2023-11-14,11:19:03","white_give","#0","还没到家捏","",""
"2023-11-14,11:19:13","jackyhe30","#0","可以开搞了","",""
"2023-11-14,11:19:29","white_give","#0","威廉哥哥的帝王蟹呜呜","",""
"2023-11-14,11:19:40","jackyhe30","#0","威廉起来又要骂我们了","",""
"2023-11-14,11:19:50","jackyhe30","#0","https://tenor.com/view/weep-cry-sad-please-im-begging-you-gif-12077131","",""
"2023-11-14,11:19:52","jackyhe30","#0","呜呜呜","",""
"2023-11-14,14:00:36",".misoudon","#0","傻逼","",""
"2023-11-14,14:01:28",".misoudon","#0","一天不骂你们混身难受是吧😅","",""
"2023-11-14,17:46:30","watashinokato","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1173876598622146671/image.png?ex=65effa46&is=65dd8546&hm=ad439978a419a185e651b71b9451984c84a866dde97152d505e5138775bf9a55&"
"2023-11-14,18:46:44","okainotonline","#0","<@534634605664403456>",".misoudon#0",""
"2023-11-14,18:46:53",".misoudon","#0","？","",""
"2023-11-14,18:46:59","okainotonline","#0","联盟","",""
"2023-11-14,19:45:58","watashinokato","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1173906660717248602/image.png?ex=65f01646&is=65dda146&hm=42e89b3d435325740e8667a2a71720731d36765be3cde0dead8628ebee51b33e&"
"2023-11-14,19:46:24","watashinokato","#0","两个三星四费都赢不了","",""
"2023-11-15,00:16:58","watashinokato","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1173974862650413066/image.png?ex=65f055ca&is=65dde0ca&hm=7a64fe16704252adc796a13359776e46d9b578fb0511e1f402b675f2e9bf49e0&"
"2023-11-15,01:00:56",".misoudon","#0","1","",""
"2023-11-15,01:01:05",".misoudon","#0","2","",""
"2023-11-15,01:01:09",".misoudon","#0","5 mins","",""
"2023-11-15,11:36:24","watashinokato","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1174145845285879889/v0300fg10000cl8vcv3c77uf3dlhst4g.mov?ex=65f0f508&is=65de8008&hm=132ea6794e1737be0a3034f0473e19d58af252ebf9622c40e2b524b996931fb6&"
"2023-11-15,11:37:15","okainotonline","#0","卧槽有高手","",""
"2023-11-15,19:35:46","watashinokato","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1174266481861726228/v0d00fg10000ckl729bc77u3sbsnqhsg.mov?ex=65f16562&is=65def062&hm=ab7ca14bd1ab5ded063f53a4133f5d4cb47757776aee37190eb312ea11f12f19&"
"2023-11-16,10:40:30","watashinokato","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1174494165095166052/IMG_0141.png?ex=65f2396e&is=65dfc46e&hm=d3e96eae6aa6b9ee7ff8bbe3c850ba18d39259827a52bc1de096446996ef51c4&"
"2023-11-16,10:41:16","watashinokato","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1174494358247059496/IMG_0143.png?ex=65f2399c&is=65dfc49c&hm=04f0c69cebac1930b59ce9a00236a092428291cc3549bb6eb274b3bcdee2ba66&"
"2023-11-16,10:41:17","white_give","#0","https://tenor.com/view/mike-taylor-why-why-me-me-slide-gif-15024288","",""
"2023-11-16,16:32:30",".misoudon","#0","6","",""
"2023-11-16,20:42:10",".misoudon","#0","<@688923339166711866>","white_give#0",""
"2023-11-16,20:42:20",".misoudon","#0","4 wait 1","",""
"2023-11-16,21:43:32","white_give","#0","等下 在恰饭","",""
"2023-11-16,21:43:36",".misoudon","#0","ok","",""
"2023-11-16,21:53:17",".misoudon","#0","MisoUdon9664","",""
"2023-11-16,21:53:41","xx_lpyyds","#0","Eight238988","",""
"2023-11-17,01:17:22","xx_lpyyds","#0","2500,  -400","",""
"2023-11-17,01:23:34","okainotonline","#0","3200 200","",""
"2023-11-17,01:38:23",".misoudon","#0","196,95,253","",""
"2023-11-17,18:16:28","xx_lpyyds","#0","(2490, -381)","",""
"2023-11-18,00:07:45",".misoudon","#0","<@926065862048374814>","xx_lpyyds#0",""
"2023-11-18,00:07:51",".misoudon","#0","快回来","",""
"2023-11-18,00:07:56",".misoudon","#0","东西给你捡回来了","",""
"2023-11-18,00:22:27",".misoudon","#0","<@714137754694451271> 加油好","watashinokato#0",""
"2023-11-18,00:22:29",".misoudon","#0","加好友","",""
"2023-11-18,14:41:29","xx_lpyyds","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1175279587656220682/IMG_8863.png?ex=65ebda69&is=65d96569&hm=33985202bef1a24743f3a477e6ed36e49deda378956ee8f930893f7b465d4c9b&"
"2023-11-18,14:41:49","white_give","#0","<a:AntEyes:835199699032080384>","",""
"2023-11-18,14:42:18","white_give","#0","买买买","",""
"2023-11-18,14:42:25","white_give","#0","t1 3:1","",""
"2023-11-18,15:29:32","xx_lpyyds","#0","WBG3:2T1","",""
"2023-11-18,15:30:00","xx_lpyyds","#0","本大神在此放下狠话","",""
"2023-11-18,16:14:12","okainotonline","#0","ok","",""
"2023-11-18,16:14:20","okainotonline","#0","你压了多少钱","",""
"2023-11-18,16:46:33","xx_lpyyds","#0","0","",""
"2023-11-18,16:46:47","xx_lpyyds","#0","👍","",""
"2023-11-18,19:32:23","malappc","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1175352794337775646/IMG_8516.png?ex=65ec1e97&is=65d9a997&hm=0d59b42f5f249f5bcde97af3cc3fb54ea2e62a2b42dcec6017d99f1ebd1a012a&"
"2023-11-18,19:32:30","malappc","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1175352822548676689/IMG_8517.png?ex=65ec1e9d&is=65d9a99d&hm=b6b82e9a1d2ebae670dba7de7561c5479fdb746fd0815abc8a5cca6ea287758b&"
"2023-11-18,20:27:32","watashinokato","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1175366672610234478/image.png?ex=65ec2b84&is=65d9b684&hm=f4fa0a2d479ad85d0a9ab2fd67ac27550f513112a21cfc911ca9118e40be94d2&"
"2023-11-18,22:39:22",".misoudon","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1175399852046290995/IMG_7619.png?ex=65ec4a6a&is=65d9d56a&hm=2e28f2de4c79d2393dd8fc1f575772ab15b3d4b1a866a9019094463f4bb8d243&"
"2023-11-18,23:25:12","watashinokato","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1175411384394186844/IMG_0150.png?ex=65ec5528&is=65d9e028&hm=3c80a6b0364315974bddc06951b6415bbdebf168a65a9cd727f553db26dc2d56&"
"2023-11-19,12:54:44","white_give","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1175615113449967657/IMG_2706.png?ex=65ed12e4&is=65da9de4&hm=2ed6951f7be03154d5b56461f023dd10a5d87e1d938c4920873390242a4ca406&"
"2023-11-19,13:35:09",".misoudon","#0","好家伙下赛季地图变了","",""
"2023-11-19,15:35:06","watashinokato","#0","怎么今天没人","",""
"2023-11-19,18:28:27","white_give","#0","你们都集合了吧","",""
"2023-11-19,18:59:12","okainotonline","#0","集合了","",""
"2023-11-19,18:59:31","white_give","#0","开始比赛了记得连线","",""
"2023-11-19,18:59:37","white_give","#0","https://tenor.com/view/league-of-legends-lol-meme-pepe-gif-25444442","",""
"2023-11-19,18:59:47",".misoudon","#0","好捏","",""
"2023-11-19,19:26:49",".misoudon","#0","<@688923339166711866>","white_give#0",""
"2023-11-19,22:16:38","okainotonline","#0","T1十年老粉不请自来😎","",""
"2023-11-19,23:00:26","xx_lpyyds","#0","😋","",""
"2023-11-19,23:00:43","jackyhe30","#0","已经神智不清了吗","",""
"2023-11-19,23:00:49","jackyhe30","#0","🫠","",""
"2023-11-19,23:00:51","white_give","#0","https://tenor.com/view/league-of-legends-lol-meme-pepe-gif-25444442","",""
"2023-11-19,23:03:19","okainotonline","#0","快来五排","",""
"2023-11-19,23:03:29","okainotonline","#0","已经到家","",""
"2023-11-19,23:04:58","white_give","#0","https://tenor.com/view/league-of-legends-lol-meme-pepe-gif-25444442","",""
"2023-11-19,23:05:08","white_give","#0","gogogo 要用wbg阵容赢","",""
"2023-11-20,11:46:37","watashinokato","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1175960356066181212/RPReplay_Final1700440332.mov?ex=65ee546d&is=65dbdf6d&hm=2ee585452e0009066494dc2037c92ac1539985152cde23d9f192c5785675118e&"
"2023-11-20,22:11:49",".misoudon","#0","<@926065862048374814>","xx_lpyyds#0",""
"2023-11-20,23:53:33","watashinokato","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1176143294149963917/IMG_0157.jpg?ex=65eefecd&is=65dc89cd&hm=5d9ee29cd3ebd0b91b309b6edd93c81a4defeb721c4ba2b8c4669cd8cb631701&"
"2023-11-21,16:28:06","watashinokato","#0","s10更新啦","",""
"2023-11-21,16:28:09","watashinokato","#0","有无选手","",""
"2023-11-21,16:28:55","white_give","#0","那恭喜发财捏","",""
"2023-11-21,16:29:12","watashinokato","#0","那肯定是无了","",""
"2023-11-21,16:31:57","malappc","#0","🈚️了","",""
"2023-11-21,16:31:59","malappc","#0","痛苦","",""
"2023-11-21,16:32:27","white_give","#0","🥲","",""
"2023-11-21,16:32:31","watashinokato","#0","一般只有赛季末才会有","",""
"2023-11-21,16:41:09",".misoudon","#0","我操kkoma回t1了","",""
"2023-11-21,16:44:47","watashinokato","#0","坏消息tft即将引入翡翠","",""
"2023-11-21,16:45:07","watashinokato","#0","这是谁",".misoudon#0",""
"2023-11-21,16:45:30",".misoudon","#0","t1原先教练","",""
"2023-11-21,17:12:59","watashinokato","#0","faker下赛季还打呢","",""
"2023-11-21,17:13:13",".misoudon","#0","他合同25到期","",""
"2023-11-21,17:22:07","watashinokato","#0","ok来个五冠王","",""
"2023-11-21,17:22:14",".misoudon","#0","还真是","",""
"2023-11-21,20:09:28","watashinokato","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1176449289212399636/image.png?ex=65f01bc7&is=65dda6c7&hm=3373f09d0e5e0ad77222bc8bf288b02f0131da3f1a15eb620b49d4a0a52dc630&"
"2023-11-21,20:10:11",".misoudon","#0","我这也有个","",""
"2023-11-21,20:10:50",".misoudon","#0","联盟被黑了？","",""
"2023-11-21,20:11:52","watashinokato","#0","难绷","",""
"2023-11-21,20:32:11","watashinokato","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1176455006547873832/image.png?ex=65f0211b&is=65ddac1b&hm=f19739bcdc34ea6fd802349fb517ca3931fbf88e6ec220e995cf4500d97a2ca9&"
"2023-11-22,23:38:24","white_give","#0","<@534634605664403456>",".misoudon#0",""
"2023-11-22,23:38:30","okainotonline","#0","<@534634605664403456>",".misoudon#0",""
"2023-11-22,23:38:35",".misoudon","#0","一会","",""
"2023-11-22,23:38:37",".misoudon","#0","我现在打不了","",""
"2023-11-22,23:42:20","xx_lpyyds","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1176865250268692480/IMG_8869.png?ex=65f19f2c&is=65df2a2c&hm=215562fa93cdd52a6693e2b88ad254d504ab7131e2296a83f679a56071413fae&"
"2023-11-23,00:29:01","okainotonline","#0","<@534634605664403456>",".misoudon#0",""
"2023-11-23,20:21:42","然_","#5256","https://www.kogan.com/au/buy/panatech-todo-espresso-coffee-machine-maker-automatic-touch-control-led-display-15-bar-pump-15l-t-cm5403e/?utm_source=google&utm_medium=product_listing_ads&gad_source=1&gclid=CjwKCAiAjfyqBhAsEiwA-UdzJHQwm5AYCMaqS0Tto865puvKHsLdPzZnXamGwu7rYqAq9iwZjBr_VxoCWZMQAvD_BwE","",""
"2023-11-23,22:37:42","okainotonline","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1177211369880309770/image.png?ex=65e9a706&is=65d73206&hm=e3c1bc0a634da7f85413d236c73b1b856ac48c7b980877b6deb7c53b9b78639e&"
"2023-11-23,22:37:48","okainotonline","#0","这怎么回事","",""
"2023-11-23,22:37:52","okainotonline","#0","连不上","",""
"2023-11-24,00:09:26","然_","#5256","ASUS ROG Strix Scope  Mechanical Gaming Keyboard - Red Switch","",""
"2023-11-24,01:04:36","watashinokato","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1177248339067146290/image.png?ex=65e9c974&is=65d75474&hm=ea66ef565c956699bec66d718a3930776078ef8d716f8f86184ae796b151e576&"
"2023-11-24,12:27:12","然_","#5256","☝️🤓","",""
"2023-11-25,00:56:11",".misoudon","#0","<@926065862048374814>","xx_lpyyds#0",""
"2023-11-25,00:56:27",".misoudon","#0","<@714137754694451271>","watashinokato#0",""
"2023-11-25,01:54:40","watashinokato","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1177623327129477200/image.png?ex=65eb26b0&is=65d8b1b0&hm=ec12ae99229da0ee7f18ee24452b1cd8cbc77888308e6315d8a3acdc4ee683d8&"
"2023-11-25,02:17:42","malappc","#0","1148336057","",""
"2023-11-25,20:54:09",".misoudon","#0","<@688923339166711866>","white_give#0",""
"2023-11-25,22:14:44","white_give","#0","1","",""
"2023-11-25,22:14:55",".misoudon","#0","1","",""
"2023-11-27,23:19:22","watashinokato","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1178671409208238121/image.png?ex=65eef6ca&is=65dc81ca&hm=3ed33870f844fb2551a50f3a2abd6f9bf626c9f8cda429eb0bafa92aa100837d&"
"2023-11-28,22:00:02","xx_lpyyds","#0","直播有无","",""
"2023-11-29,14:47:12","okainotonline","#0","","","https://cdn.discordapp.com/attachments/975015717613232158/1179267293541314640/image.png?ex=65f121c0&is=65deacc0&hm=315aa1a36ec717c587792de19be220d361044ecc40afc52265a42d1106cb1271&"
"2023-11-29,14:47:58","malappc","#0","🐮","",""
"2023-11-29,14:48:50","okainotonline","#0","排位封印","",""
"2023-11-29,14:50:30","jackyhe30","#0","我怀疑有代练嫌疑 除非你给我也打一个","",""
"2023-11-29,14:50:32","jackyhe30","#0","不然我不信","",""
"2023-11-29,14:51:54","white_give","#0","https://tenor.com/view/league-of-legends-lol-meme-pepe-gif-25444442","",""
"2023-11-29,14:53:16","okainotonline","#0","你不是回国了吗","",""
"2023-11-29,14:53:24","okainotonline","#0","敢翻墙","",""
"2023-11-29,14:53:25","jackyhe30","#0","我搞了个vpn","",""
"2023-11-29,14:53:26","okainotonline","#0","大胆","",""
"2023-11-29,14:53:29","jackyhe30","#0","可以看你们直播","",""
"2023-11-29,14:53:40","jackyhe30","#0","我在学车了捏","",""
"2023-11-29,14:53:41","white_give","#0","小心被习主席抓起来","",""
"2023-11-29,14:53:48","jackyhe30","#0","危险发言","",""
"2023-11-29,14:53:54","jackyhe30","#0","我劝你不要乱说","",""
"2023-11-29,14:53:55","white_give","#0","这是discord","",""
"2023-11-29,14:54:02","white_give","#0","真正危险的人是你","",""
"2023-11-29,14:54:03","okainotonline","#0","你小心","",""
"2023-11-29,14:54:04","jackyhe30","#0","还真是","",""
"2023-11-29,14:54:35","white_give","#0","那我要开宝马","",""
"2023-11-29,14:54:41","white_give","#0","你回来之后买一台","",""
"2023-11-29,14:55:31","okainotonline","#0","学会以后买个超跑可以吗","",""
